time,open,high,low,close,Candle high,Candle low,TBbox,BBbox,test BaseLine,test BaseLine,test_ema,Go Long,Go Short,Exit Long,Exit Short,Volume,Volume MA
1669839300,12195,12195,12195,12195,12131,12114.75,12162.5,12045,11858.108333333328,11857.025000000001,11969.600243519551,0,0,0,0,1,1.35
1669841100,12230,12230,12230,12230,12131,12114.75,12162.5,12045,11881.024999999994,11879.400000000001,12021.68019481564,0,0,0,0,1,1.35
1669842600,12286,12286,12286,12286,12131,12114.75,12162.5,12045,11927.416666666662,11925.250000000002,12074.544155852513,0,0,0,0,1,1.35
1669843800,12300,12300,12300,12300,12131,12114.75,12162.5,12045,11994.658333333327,11991.950000000003,12119.63532468201,0,0,0,0,1,1.35
1669849500,12337.5,12337.5,12337.5,12337.5,12195,12195,12162.5,12045,12074.858333333328,12072.150000000001,12163.208259745608,0,0,0,0,1,1.35
1669872600,12315,12315,12315,12315,12195,12195,12162.5,12045,12149.024999999994,12146.858333333335,12193.566607796487,0,0,0,0,1,1.35
1669901400,12350,12350,12350,12350,12195,12195,12162.5,12045,12212.358333333328,12210.733333333335,12224.85328623719,0,0,0,0,2,1.4
1669916700,12280,12280,12280,12280,12350,12350,12162.5,12045,12260.324999999995,12259.241666666669,12235.882628989752,0,0,0,0,1,1.4
1669987800,12256.75,12256.75,12068.75,12068.75,12350,12350,12162.5,12045,12282.708333333327,12288.974999999993,12202.456103191802,0,0,0,0,2,1.4
1669989600,12057.25,12057.25,12057.25,12057.25,12350,12350,12350,12057.25,12280.34166666666,12292.874999999995,12173.414882553441,0,0,0,0,2,1.45
1669991100,12089,12089,12089,12089,12350,12350,12350,12057.25,12263.558333333327,12282.358333333328,12156.531906042754,0,0,0,0,1,1.45
1669991400,12132.5,12156,12132.5,12156,12350,12350,12350,12057.25,12236.308333333327,12261.374999999993,12156.425524834203,0,0,0,0,2,1.5
1669992000,12151,12151,12151,12151,12256.75,12068.75,12350,12057.25,12200.758333333326,12232.09166666666,12155.340419867363,0,0,0,0,1,1.25
1670000400,12171,12171,12171,12171,12256.75,12068.75,12350,12057.25,12168.81666666666,12200.149999999992,12158.47233589389,0,0,0,0,1,1.25
1670012100,12311.5,12311.5,12271.25,12271.25,12256.75,12068.75,12350,12057.25,12151.71666666666,12148.583333333336,12181.027868715111,1,0,0,0,7,1.55
1670249400,12177,12177,12177,12177,12311.5,12271.25,12350,12057.25,12146.891666666657,12142.975,12180.222294972089,0,0,1,0,1,1.55
1670252400,12131.5,12131.5,12131.5,12131.5,12311.5,12271.25,12350,12057.25,12148.783333333326,12165.34166666666,12170.477835977672,0,0,0,0,1,1.55
1670253300,12131,12131,12131,12131,12311.5,12271.25,12311.5,12131,12156.474999999991,12168.108333333324,12162.582268782138,0,0,0,0,1,1.55
1670254200,12131,12131,12131,12131,12311.5,12271.25,12311.5,12131,12167.133333333326,12173.84166666666,12156.26581502571,0,0,0,0,1,1.55
1670258100,12100,12100,12100,12100,12177,12177,12311.5,12131,12168.674999999994,12175.383333333326,12145.012652020569,0,0,0,0,1,1.5
1670264100,12081,12081,12081,12081,12177,12177,12311.5,12131,12159.883333333326,12165.249999999993,12132.210121616456,0,0,0,0,1,1.5
1670269200,12025,12025,12025,12025,12131.5,12131.5,12311.5,12131,12144.608333333328,12148.633333333326,12110.768097293165,0,0,0,0,1,1.5
1670270100,12027,12027,12027,12027,12131,12131,12311.5,12131,12126.683333333327,12129.36666666666,12094.014477834531,0,0,0,0,1,1.5
1670274000,12050,12050,12050,12050,12131,12131,12311.5,12131,12106.724999999993,12108.066666666658,12085.211582267624,0,0,0,0,4,1.65
1670301000,12031,12031,12031,12031,12131,12131,12311.5,12131,12085.799999999994,12085.799999999994,12074.369265814099,0,0,0,0,6,1.9
1670333100,12049.75,12049.75,12049.75,12049.75,12031,12031,12311.5,12131,12069.541666666659,12069.541666666659,12069.44541265128,0,0,0,0,1,1.9
1670336700,12033,12033,12033,12033,12031,12031,12311.5,12131,12056.749999999993,12056.749999999993,12062.156330121023,0,0,0,0,1,1.85
1670337900,11943.5,11943.5,11943.5,11943.5,12031,12031,12311.5,12131,12044.724999999991,12044.724999999991,12038.425064096818,0,0,0,0,1,1.85
1670339100,11880,11880,11880,11880,12031,12031,12311.5,12131,12030.49999999999,12030.499999999993,12006.740051277455,0,0,0,0,1,1.8
1670343000,11880,11880,11880,11880,12031,12031,12311.5,12131,12013.941666666658,12013.94166666666,11981.392041021963,0,1,0,0,6,2
1670346600,11840,11840,11840,11840,11880,11880,12311.5,12131,11992.691666666658,11992.691666666658,11953.11363281757,0,0,0,0,1,2
1670359800,11826.5,11831,11826.5,11831,11880,11880,12311.5,12131,11965.74999999999,11965.749999999993,11928.690906254056,0,0,0,0,5,2.15
1670415600,11711,11711,11711,11711,11880,11880,12311.5,12131,11930.791666666657,11930.791666666659,11885.152725003245,0,0,0,0,1,2.15
1670419800,11717,11717,11717,11717,11880,11880,12311.5,12131,11893.183333333325,11893.183333333325,11851.522180002596,0,0,0,0,1,2.15
1670420100,11750.5,11750.5,11750.5,11750.5,11831,11826.5,12311.5,12131,11856.92499999999,11856.92499999999,11831.317744002077,0,0,0,0,1,1.85
1670421900,11732.75,11732.75,11732.75,11732.75,11831,11826.5,12311.5,12131,11822.12499999999,11822.12499999999,11811.604195201662,0,0,0,0,1,1.85
1670424300,11730.75,11730.75,11730.75,11730.75,11711,11711,12311.5,12131,11790.974999999991,11790.974999999991,11795.43335616133,0,0,0,0,1,1.85
1670513700,11900,11900,11900,11900,11711,11711,12311.5,12131,11772.858333333323,11772.258333333339,11816.346684929063,0,0,0,1,1,1.85
1670516700,11830,11830,11830,11830,11717,11717,12311.5,12131,11766.258333333324,11765.808333333336,11819.07734794325,0,0,0,0,1,1.85
1670524800,11910,11910,11896.75,11910,11717,11717,12311.5,12131,11770.408333333324,11769.666666666672,11837.2618783546,1,0,0,0,10,2.3
1670545500,11849.5,11849.5,11849.25,11849.25,11910,11896.75,12311.5,12131,11782.758333333324,11781.725000000006,11839.65950268368,0,0,0,0,5,2.5
1670552700,11891.25,11891.25,11891.25,11891.25,11910,11896.75,12311.5,12131,11804.033333333326,11802.708333333338,11849.977602146944,0,0,0,0,1,2.5
1670592600,11844,11844,11811,11811,11910,11896.75,11910,11811,11825.683333333325,11826.808333333325,11842.182081717556,0,0,1,0,2,2.55
1670599200,11841.5,11841.5,11841.5,11841.5,11910,11896.75,11910,11811,11841.416666666657,11843.649999999992,11842.045665374044,0,0,0,0,1,2.4
1670599800,11890,11890,11890,11890,11849.5,11849.25,11910,11811,11852.716666666658,11850.50833333334,11851.636532299235,0,0,0,0,1,2.15
1670601300,11910,11944,11909.75,11944,11849.5,11849.25,11910,11811,11861.858333333324,11858.950000000006,11870.109225839387,0,0,0,0,5,2.35
1670602200,11911,11911,11911,11911,11944,11909.75,11910,11811,11867.774999999992,11864.166666666672,11878.28738067151,0,0,0,0,1,2.35
1670608200,11916,11916,11916,11916,11944,11909.75,11910,11811,11871.841666666658,11867.53333333334,11885.829904537208,0,0,0,0,2,2.4
1670609700,11886.25,11889.75,11884,11888.75,11944,11909.75,11944,11884,11880.449999999992,11875.283333333338,11886.413923629767,0,0,0,0,10,2.85
1670610000,11887.75,11887.75,11885.75,11885.75,11889.75,11884,11944,11884,11888.533333333326,11882.508333333339,11886.281138903814,0,0,0,0,2,2.65
1670619000,11811,11811,11811,11811,11889.75,11884,11944,11884,11892.849999999991,11895.283333333327,11871.224911123052,0,0,0,0,1,2.65
1670619300,11817.25,11817.25,11817.25,11817.25,11889.75,11884,11944,11884,11890.883333333326,11892.31666666666,11860.429928898442,0,0,0,0,1,2.45
